Name,Address,Grades,Latitude,Longitude 
Mattapan House Of Pizza,"'1621 Blue Hill Ave.,Boston,MA,USA'",'A; B; C',42.2685477,-71.0940335
Afc Sushi @ Shaw's No. 586,"'4 River St.,Boston,MA,USA'",'A; B; C',42.2718903,-71.0697097
Standish Village,"'1190 Adams St.,Boston,MA,USA'",'A; B; C',42.2719271,-71.0660623
Spring St. Cafe,"'314 Spring St.,Boston,MA,USA'",'A; B; C',42.2719887,-71.1720965
Simco's Restaurant,"'1509 Blue Hill Ave.,Boston,MA,USA'",'A; B; C',42.272373,-71.0940433
Ester,"'2261 Dorchester Ave.,Boston,MA,USA'",'A; B; C',42.2732046,-71.0680553
Pats Pizza,"'2254 Dorchester Ave.,Boston,MA,USA'",'A; B; C',42.2734004,-71.067573
Sweet Life Bakery And Cafe,"'2243 Dorchester Ave.,Boston,MA,USA'",'A; B; C',42.2736971,-71.0679033
Domino's Pizza,"'4640 Washington St.,Boston,MA,USA'",'A; B; C',42.2748874,-71.1397325
Burger King No. 3531,"'4594 Washington St.,Boston,MA,USA'",'A; B; C',42.2759765,-71.1391773
Tony's Place,"'186 Baker St.,Boston,MA,USA'",'A; B; C',42.276111,-71.167361
Bani Restaurant,"'4541 Washington St.,Boston,MA,USA'",'A; B; C',42.2783531,-71.1372349
Burgerfi,"'75 Spring St.,Boston,MA,USA'",'A; B; C',42.2787237,-71.1632963
Panera Bread Bakery/Cafe No. 1411,"'75 Spring St.,Boston,MA,USA'",'A; B; C',42.2787237,-71.1632963
La Lechonera Cafe,"'342 Cummins Hw.,Boston,MA,USA'",'A; B; C',42.2788124,-71.1160201
Oasis Cafe,"'630 Hyde Park Ave.,Boston,MA,USA'",'A; B; C',42.2788709,-71.1189639
Lelene's Restaurant,"'1296 Blue Hill Ave.,Boston,MA,USA'",'A; B; C',42.2793776,-71.0927724
P & R Ice Cream,"'1284 Blue Hill Ave.,Boston,MA,USA'",'A; B; C',42.2797888,-71.0926221
Pu Pu Platter Restaurant,"'2060 Centre St.,Boston,MA,USA'",'A; B; C',42.2798755,-71.1582991
Nicholas Sub & Pizza Shop,"'600 Hyde Park Ave.,Boston,MA,USA'",'A; B; C',42.2800831,-71.1186758
Brannellys Cafe,"'4432 Washington St.,Boston,MA,USA'",'A; B; C',42.280257,-71.13435
Morton's Pizzeria,"'896 Morton St.,Boston,MA,USA'",'A; B; C',42.2807,-71.0839146
Just Not Subs,"'920 Morton St.,Boston,MA,USA'",'A; B; C',42.280707,-71.0829255
Pit Stop Barbecue,"'888 Morton St.,Boston,MA,USA'",'A; B; C',42.280756,-71.0841896
Windy City At Adams Village,"'516 Gallivan Bl.,Boston,MA,USA'",'A; B; C',42.2827675,-71.0555516
Mcdonald's,"'718 American Legion Hw.,Boston,MA,USA'",'A; B; C',42.2828909,-71.1135265
Kings Pizza & Grill,"'1210A Blue Hill Ave.,Boston,MA,USA'",'A; B; C',42.2829072,-71.0913989
Popeyes,"'710 American Legion Hw.,Boston,MA,USA'",'A; B; C',42.2829473,-71.112814
Anthony's @ Adams Village,"'789 Adams St.,Boston,MA,USA'",'A; B; C',42.2832473,-71.0559502
Greenhills Bakery,"'780 Adams St.,Boston,MA,USA'",'A; B; C',42.2832823,-71.0555812
Gerard's Sandwich Shop,"'772 Adams.,Boston,MA,USA'",'A; B; C',42.2833826,-71.0554847
Las Palmas Restaurant,"'4337 Washington St.,Boston,MA,USA'",'A; B; C',42.2833984,-71.1314173
China Sea Restaurant,"'1202 Blue Hill Ave.,Boston,MA,USA'",'A; B; C',42.283423,-71.0914217
Joseph's Pizza & Sub Shop,"'1200 Blue Hill Ave.,Boston,MA,USA'",'A; B; C',42.2835104,-71.0916231
New York Fried Chicken,"'1198 Blue Hill Ave.,Boston,MA,USA'",'A; B; C',42.2835606,-71.0916062
